"frame_num","time_elapsed","bboxes"
"112","668.5578002929688","[[0.27007731795310974,0.16878469288349152,0.3919844925403595,0.4833124876022339],[0.5447016358375549,0.329282283782959,0.5894583463668823,0.4558039605617523]]"
"113","722.805908203125","[[0.269592821598053,0.17124730348587036,0.3934965133666992,0.48527657985687256],[0.5427919626235962,0.32972341775894165,0.5872544646263123,0.45622044801712036]]"
"114","695.4383544921875","[[0.2682788074016571,0.17187617719173431,0.3939777612686157,0.48796895146369934],[0.5412520170211792,0.32904165983200073,0.5862445831298828,0.45590314269065857]]"
"115","723.3631591796875","[[0.2671055197715759,0.17708903551101685,0.3928106725215912,0.489825040102005],[0.539887011051178,0.3288073241710663,0.5852268934249878,0.45492687821388245]]"
"116","680.8131713867188","[[0.2654384970664978,0.17782483994960785,0.39255794882774353,0.491344153881073],[0.5384348630905151,0.329728901386261,0.5841701030731201,0.454675555229187]]"
"117","706.7156372070312","[[0.2636219263076782,0.18039722740650177,0.39102867245674133,0.4943597912788391],[0.5360749363899231,0.32960835099220276,0.5824697017669678,0.45518288016319275]]"
"118","682.3185424804688","[[0.26130935549736023,0.17992347478866577,0.39038175344467163,0.49759119749069214],[0.534220278263092,0.3308808505535126,0.5814124345779419,0.4574406147003174]]"
"119","705.9205932617188","[[0.25884419679641724,0.18107640743255615,0.38958504796028137,0.5017945170402527],[0.5330643057823181,0.33235883712768555,0.5804747939109802,0.46044155955314636]]"
"120","696.1582641601562","[[0.2558312714099884,0.18086421489715576,0.38689735531806946,0.5070546269416809],[0.5316345691680908,0.33369535207748413,0.5782684087753296,0.46322643756866455]]"
"121","719.0891723632812","[[0.2555181086063385,0.17748598754405975,0.38733088970184326,0.5045652389526367],[0.5313646793365479,0.33660563826560974,0.5777876377105713,0.46682801842689514]]"
"122","720.6468505859375","[[0.2539576292037964,0.16579432785511017,0.3882581889629364,0.502496600151062],[0.534098207950592,0.3415001332759857,0.5781944990158081,0.46779146790504456]]"
"123","719.7280883789062","[[0.2529136538505554,0.16040000319480896,0.3867751657962799,0.5033393502235413],[0.5342464447021484,0.3438561260700226,0.5780966281890869,0.4702709913253784]]"
"124","665.8831176757812","[[0.25340530276298523,0.16227199137210846,0.3860614001750946,0.5016247034072876],[0.5356578826904297,0.34653228521347046,0.5793347954750061,0.47092536091804504]]"
"125","728.7223510742188","[[0.25351807475090027,0.16241894662380219,0.3885737657546997,0.49873262643814087],[0.5376912951469421,0.3442440330982208,0.5798346400260925,0.4683435261249542]]"
"126","727.8363037109375","[[0.25423958897590637,0.15593254566192627,0.3873252272605896,0.4945968687534332],[0.5384029746055603,0.34217196702957153,0.5802867412567139,0.46624675393104553]]"
"127","700.2210083007812","[[0.2575381100177765,0.156142458319664,0.38910117745399475,0.48433470726013184],[0.5396116375923157,0.3426123261451721,0.5813128352165222,0.4646049439907074]]"
"128","719.52978515625","[[0.26067548990249634,0.15038688480854034,0.3910728096961975,0.4758305847644806],[0.5398423671722412,0.34315288066864014,0.5817286968231201,0.4636440873146057]]"
"129","715.5292358398438","[[0.26485902070999146,0.13873136043548584,0.3907112181186676,0.46896007657051086],[0.5404053330421448,0.34262561798095703,0.5818513035774231,0.4626716673374176]]"
"130","719.3084106445312","[[0.2670751214027405,0.15193235874176025,0.3950113356113434,0.4772254526615143],[0.5406210422515869,0.3429892063140869,0.5820090770721436,0.46209144592285156]]"
"131","707.8821411132812","[[0.27108776569366455,0.15309926867485046,0.39951834082603455,0.49135178327560425],[0.5409641861915588,0.34172752499580383,0.5815420746803284,0.46008172631263733]]"
"132","754.4332885742188","[[0.27489379048347473,0.16130398213863373,0.4033859372138977,0.4975624978542328],[0.5406934022903442,0.3369465470314026,0.5812910795211792,0.45649299025535583]]"
"133","737.6632690429688","[[0.2769933342933655,0.16144509613513947,0.40520933270454407,0.4988054037094116],[0.539965033531189,0.33400264382362366,0.5813660025596619,0.45548906922340393]]"
"134","700.3394775390625","[[0.27734696865081787,0.17276491224765778,0.40545853972435,0.4979929029941559],[0.5388132333755493,0.3297891616821289,0.5803009867668152,0.45054057240486145],[0.3887004256248474,0.8104809522628784,0.42745909094810486,0.917614221572876]]"
"135","760.9620361328125","[[0.2770041823387146,0.174458310008049,0.404257595539093,0.49630206823349],[0.535176157951355,0.3277990520000458,0.5791120529174805,0.4484075903892517]]"
"136","717.7620849609375","[[0.2774921953678131,0.1794978231191635,0.40375426411628723,0.49819058179855347],[0.5339126586914062,0.32506275177001953,0.5783072710037231,0.44639426469802856]]"
"137","717.0695190429688","[[0.2772676348686218,0.18581613898277283,0.4018508493900299,0.5056610703468323],[0.5326998829841614,0.3230457603931427,0.5765077471733093,0.4460570812225342]]"
"138","708.8461303710938","[[0.2763555347919464,0.1903991848230362,0.40173861384391785,0.5045933127403259],[0.5334731340408325,0.3230578601360321,0.5760811567306519,0.4453829824924469]]"
"139","742.3256225585938","[[0.2744161784648895,0.18119563162326813,0.40098559856414795,0.5016564726829529],[0.5331116914749146,0.3249959349632263,0.5755948424339294,0.4454498589038849]]"
"140","709.4653930664062","[[0.27201664447784424,0.18187512457370758,0.39919430017471313,0.4936003088951111],[0.5315086245536804,0.32579341530799866,0.5746771693229675,0.4516950845718384]]"
