"frame_num","time_elapsed","bboxes"
"14","6.27507209777832","[[0.10086337476968765,0.05580108240246773,0.34922680258750916,0.4938862919807434],[0.5624617338180542,0.4262847304344177,0.6197384595870972,0.5072273015975952]]"
"15","6.605823993682861","[[0.10086200386285782,0.05155517905950546,0.34626203775405884,0.4893360137939453],[0.5662000775337219,0.43004125356674194,0.6207879781723022,0.5073898434638977]]"
"16","6.01804780960083","[[0.10243715345859528,0.07057051360607147,0.34179335832595825,0.4935538172721863],[0.5700746774673462,0.4281654357910156,0.627429723739624,0.5130245685577393]]"
"17","5.7487359046936035","[[0.11375434696674347,0.09154798835515976,0.3516269028186798,0.5101418495178223],[0.5721844434738159,0.4298223853111267,0.6288074254989624,0.5137604475021362]]"
"18","6.234111785888672","[[0.13155780732631683,0.1117568239569664,0.37675952911376953,0.5191202163696289],[0.5770550966262817,0.4205283224582672,0.6396485567092896,0.5129086375236511]]"
"19","6.18393611907959","[[0.15917739272117615,0.11820308864116669,0.355027973651886,0.5476630330085754],[0.5796456933021545,0.42522257566452026,0.6412543654441833,0.5134415626525879]]"
"20","6.048768043518066","[[0.16464588046073914,0.13557052612304688,0.36588889360427856,0.5623382925987244],[0.5753801465034485,0.4259902536869049,0.6344868540763855,0.5126640200614929]]"
"21","6.93452787399292","[[0.16535837948322296,0.14018511772155762,0.36922261118888855,0.5608474612236023],[0.5742038488388062,0.42429572343826294,0.6294434666633606,0.5049017667770386]]"
"22","6.166528224945068","[[0.17255423963069916,0.16077403724193573,0.36428889632225037,0.5456607341766357],[0.5808776021003723,0.4327507019042969,0.6404627561569214,0.5166445374488831]]"
"23","6.379519939422607","[[0.1836003065109253,0.1674657016992569,0.36952587962150574,0.547969400882721],[0.5805725455284119,0.42893996834754944,0.6387618780136108,0.509316623210907]]"
"24","6.096896171569824","[[0.18724286556243896,0.16753847897052765,0.3730580508708954,0.5387789011001587],[0.5818983316421509,0.4252794682979584,0.6361477375030518,0.5027274489402771]]"
"25","6.403103828430176","[[0.19730746746063232,0.17720778286457062,0.38242822885513306,0.530196487903595],[0.5832265615463257,0.4233233332633972,0.6369292140007019,0.500544548034668]]"
"26","6.452223777770996","[[0.20475225150585175,0.1721167117357254,0.38308218121528625,0.5172187089920044],[0.5860762000083923,0.4108000695705414,0.6402926445007324,0.48756319284439087]]"
"27","6.714367866516113","[[0.21006596088409424,0.1588527411222458,0.3845371603965759,0.5078328251838684],[0.5890011787414551,0.4246968626976013,0.6398128271102905,0.4957771301269531]]"
"28","6.57919979095459","[[0.21692697703838348,0.15597613155841827,0.38437074422836304,0.47451600432395935],[0.5886653661727905,0.41509732604026794,0.6429398655891418,0.49121174216270447]]"
"29","7.1444478034973145","[[0.2216462641954422,0.14044663310050964,0.38517215847969055,0.45753058791160583],[0.5868974924087524,0.41085314750671387,0.6433563232421875,0.4913572371006012]]"
"30","6.546432018280029","[[0.22283828258514404,0.13858525454998016,0.3833219110965729,0.4502488970756531],[0.5933927297592163,0.4103061258792877,0.6516827344894409,0.4943053722381592]]"
"31","6.534143924713135","[[0.22708284854888916,0.134159117937088,0.388146311044693,0.4402967393398285],[0.5922859311103821,0.4114614427089691,0.6561377048492432,0.5045133233070374]]"
"32","6.873248100280762","[[0.23097148537635803,0.13393858075141907,0.39181381464004517,0.43108367919921875],[0.5962368845939636,0.42144984006881714,0.6509879231452942,0.5023319125175476]]"
"33","6.775807857513428","[[0.2350091189146042,0.13663513958454132,0.39750680327415466,0.4376336932182312],[0.5977698564529419,0.42092186212539673,0.6594732999801636,0.5087530612945557]]"
"34","7.638016223907471","[[0.2348683774471283,0.13421770930290222,0.3966408967971802,0.4390942454338074],[0.5941681861877441,0.39976710081100464,0.6504297852516174,0.47836631536483765],[0.6011294722557068,0.4213401675224304,0.6611990928649902,0.5082383155822754]]"
"35","7.369855880737305","[[0.24027712643146515,0.14939123392105103,0.39910688996315,0.4438226819038391],[0.5961765646934509,0.3991580307483673,0.6463820338249207,0.4669552445411682]]"
"36","6.612063884735107","[[0.24246135354042053,0.168172687292099,0.3976760804653168,0.44594278931617737]]"
"37","6.421504020690918","[[0.2405015528202057,0.17874570190906525,0.3964007496833801,0.47006040811538696],[0.6037224531173706,0.4170776307582855,0.6640549302101135,0.5008835792541504]]"
"38","6.560768127441406","[[0.23976044356822968,0.19073928892612457,0.4091852307319641,0.49232372641563416],[0.5976567268371582,0.4010263979434967,0.6621728539466858,0.49585360288619995],[0.5994790196418762,0.37436777353286743,0.6559714674949646,0.4553042948246002]]"
"39","6.205440044403076","[[0.2418685406446457,0.2007102519273758,0.40412086248397827,0.5076221227645874],[0.5931663513183594,0.3991345465183258,0.6609569787979126,0.49727925658226013]]"
"40","7.115776062011719","[[0.2523534297943115,0.21212410926818848,0.40354490280151367,0.5332072377204895],[0.5956271290779114,0.40297070145606995,0.6569650173187256,0.49297207593917847]]"
"41","6.62937593460083","[[0.25609177350997925,0.23158517479896545,0.4119364619255066,0.5323667526245117],[0.5964349508285522,0.3951760232448578,0.6599352955818176,0.4892504811286926]]"
"42","7.1966400146484375","[[0.2654472291469574,0.24596746265888214,0.4179382920265198,0.5312250852584839],[0.5956881046295166,0.3901297450065613,0.6615391373634338,0.488608181476593]]"
"43","6.704127788543701","[[0.2661644518375397,0.25519752502441406,0.42414742708206177,0.5319051742553711],[0.5946140885353088,0.3812178075313568,0.6572036147117615,0.468554824590683]]"
"44","6.041696071624756","[[0.27103978395462036,0.2568378448486328,0.43039122223854065,0.5269995927810669],[0.5919039845466614,0.3876253664493561,0.6656081080436707,0.49031510949134827]]"
"45","6.883327960968018","[[0.27819401025772095,0.23845234513282776,0.4354094862937927,0.5291479825973511],[0.5907525420188904,0.38860586285591125,0.6585249900817871,0.48363423347473145]]"
"46","6.555647850036621","[[0.28285130858421326,0.23871879279613495,0.4400779604911804,0.5228098630905151],[0.5914086699485779,0.3917847275733948,0.6580017805099487,0.4874587655067444]]"
"47","6.38969612121582","[[0.29287153482437134,0.23973599076271057,0.4400394856929779,0.51036137342453],[0.5923948287963867,0.3954852223396301,0.6562418341636658,0.4866572320461273]]"
"48","9.750528335571289","[[0.2942962050437927,0.22556300461292267,0.452261358499527,0.5178869366645813],[0.5923956632614136,0.3998018801212311,0.6560094356536865,0.4865168035030365]]"
"49","6.879231929779053","[[0.3047578036785126,0.2236560583114624,0.4562130868434906,0.5086367726325989],[0.5933841466903687,0.4027900695800781,0.6591414213180542,0.49125123023986816]]"
"50","6.783936023712158","[[0.2957130968570709,0.22403278946876526,0.448790967464447,0.5149790048599243],[0.5913985371589661,0.4057738184928894,0.6588282585144043,0.4961857795715332]]"
"51","6.206463813781738","[[0.3002565801143646,0.22253933548927307,0.44614601135253906,0.51031094789505],[0.5976148247718811,0.41599637269973755,0.6551677584648132,0.49409207701683044]]"
